section,text,sub_section,decade
Disasters,"Disasters
The RMS Titanic, a British ocean liner which was the largest and most luxurious ship at that time, struck an iceberg and sank 2 hours and forty minutes later in the North Atlantic during its maiden voyage on April 15, 1912. 1,517 people perished in the disaster.
On November 21, 1916 HMHS Britannic was holed in an explosion while passing through a channel which had been seeded with enemy mines and sank in 55 minutes.
On May 7, 1915, the British ocean liner RMS Lusitania was torpedoed by U-20, a German U-boat, off the Old Head of Kinsale in Ireland and sunk in 18 minutes. 1,198 lives were lost, including 128 Americans. The sinking proved to be a factor in the American decision to enter World War I two years later.
From 1918 through 1920, the Spanish flu killed from 50 to 100 million people worldwide.
In 1916, the Netherlands was hit by a North Sea storm that flooded the lowlands and killed 19 people.
From July 1 to July 12, 1916, a series of shark attacks, known as the Jersey Shore shark attacks of 1916 occurred along the Jersey Shore killing four and injuring one.
On January 11, 1914, Sakurajima erupted which resulted in the death of 35 people. In addition to that, the surrounding islands were consumed. Also an isthmus was created between Sakurajima and the main land.
In 1917, the Halifax explosion killed 2,000 people.

",Disasters,1910s
Other significant international events,"Other significant international events
The Panama Canal is completed in 1914.
World War I from 1914 until 1918 dominates the Western world.
Hiram Bingham rediscovers Machu Picchu on July 24, 1911.

",Other significant international events,1910s
Science and technology,"Technology
Gideon Sundback patented the first modern zipper.
Harry Brearley invented stainless steel.
Charles Strite invented the first pop-up bread toaster.
The Model T Ford dominated the automobile market, selling more than all other makers combined in 1914.
The army tank was invented. Tanks in World War I were used by the British Army, the French Army and the German Army.
1912 - Articulated trams, invented and first used by the Boston Elevated Railway.

",Technology,1910s
Science and technology,"Science
In 1916, Albert Einstein's theory of general relativity.
Max von Laue discovers the diffraction of x-rays by crystals.
In 1912, Alfred Wegener puts forward his theory of continental drift.

",Science,1910s
Economics,"Economics
In the years 1910 and 1911, there was a minor economic depression known as the Panic of 1910–11, which was followed by the enforcement of the Sherman Anti-Trust Act.

",Economics,1910s
Popular culture,"Sports
1912 Summer Olympics were held in Stockholm, Sweden.
1916 Summer Olympics were cancelled because of World War I.

",Sports,1910s
Popular culture,"Literature and arts
",Literature and arts,1910s
Popular culture,"Visual Arts
The 1913 Armory Show in New York City was a seminal event in the history of Modern Art. Innovative contemporaneous artists from Europe and the United States exhibited together in a massive group exhibition in New York City, and Chicago.

Art movements
Imagism

Cubism and related movements
Proto-Cubism
Crystal Cubism
Orphism
Section d'Or
Synchromism
Futurism

Expressionism and related movements
Symbolism
Blaue Reiter
Die Brücke

Geometric abstraction and related movements
Suprematism
De Stijl
Constructivism

Other movements and techniques
Surrealism
Dada
Collage

",Visual Arts,1910s
Popular culture,"Art movements
Imagism

Cubism and related movements
Proto-Cubism
Crystal Cubism
Orphism
Section d'Or
Synchromism
Futurism

Expressionism and related movements
Symbolism
Blaue Reiter
Die Brücke

Geometric abstraction and related movements
Suprematism
De Stijl
Constructivism

Other movements and techniques
Surrealism
Dada
Collage

",Art movements,1910s
Popular culture,"Cubism and related movements
Proto-Cubism
Crystal Cubism
Orphism
Section d'Or
Synchromism
Futurism

",Cubism and related movements,1910s
Popular culture,"Expressionism and related movements
Symbolism
Blaue Reiter
Die Brücke

",Expressionism and related movements,1910s
Popular culture,"Geometric abstraction and related movements
Suprematism
De Stijl
Constructivism

",Geometric abstraction and related movements,1910s
Popular culture,"Other movements and techniques
Surrealism
Dada
Collage

",Other movements and techniques,1910s
Popular culture,"Influential artists
Pablo Picasso
Georges Braque
Henri Matisse
Jean Metzinger
Marcel Duchamp
Wassily Kandinsky
Albert Gleizes
Kasimir Malevich
Giorgio de Chirico

",Influential artists,1910s
People,"World leaders
1910 – 1911 – 1912 – 1913 – 1914 – 1915 – 1916 – 1917 – 1918 – 1919

",World leaders,1910s
People,"Politics
John Barrett, Director-general Organization of American States
Georges Louis Beer, Chairman Permanent Mandates Commission
Henry P. Davison, Chairman International Federation of Red Cross and Red Crescent Societies
Sir James Eric Drummond, Secretary-general League of Nations
Emil Frey, Director International Telecommunication Union
Christian Louis Lange, Secretary-general Inter-Parliamentary Union
Baron Louis Paul Marie Hubert Michiels van Verduynen, Secretary-general Permanent Court of Arbitration
William E. Rappard, Secretary-general International Federation of Red Cross and Red Crescent Societies
Manfred von Richthofen, alias the ""Red Baron"", fighter pilot
Eugène Ruffy, Director Universal Postal Union
William Napier Shaw, President World Meteorological Organization
Albert Thomas, Director International Labour Organization
Grigory Yevseyevich Zinoviev, Chairman of the Executive Committee Communist International

",Politics,1910s
People,"Business
Arnold Rothstein, gangster, gambler, fixed the 1919 World Series
Henry Ford, industrialist, founder of the Ford Motor Company

",Business,1910s
People,"Inventors
Nikola Tesla, electrical and mechanical engineer

",Inventors,1910s
People,"Authors
Edgar Rice Burroughs
James Joyce

",Authors,1910s
People,"Entertainers
",Entertainers,1910s
People,"Sports figures
Baseball
Babe Ruth, (American baseball player)
Honus Wagner, (American baseball player)
Christy Mathewson, (American baseball player)
Walter Johnson, (American baseball player)
Ty Cobb, (American baseball player)
Tris Speaker, (American baseball player)
Nap Lajoie, (American baseball player)
Eddie Collins, (American baseball player)
Mordecai Brown, (American baseball player)

Olympics
Jim Thorpe

Boxing
Jack Dempsey
Jess Willard

",Sports figures,1910s
People,"Baseball
Babe Ruth, (American baseball player)
Honus Wagner, (American baseball player)
Christy Mathewson, (American baseball player)
Walter Johnson, (American baseball player)
Ty Cobb, (American baseball player)
Tris Speaker, (American baseball player)
Nap Lajoie, (American baseball player)
Eddie Collins, (American baseball player)
Mordecai Brown, (American baseball player)

",Baseball,1910s
